osm_combination,location_ids
R14289629-boundary:administrative,13973
W28249460-office:association,"14102,14103"
R2174951-boundary:administrative,"13421,13422"
N871357842-place:village,14658
R1634544-boundary:administrative,13253
R192778-boundary:administrative,12336
R7902476-boundary:administrative,"13856,13857,13858,13859,13860,13861,13862"
R1846570-boundary:administrative,13311
N21521238-place:suburb,14016
R34914-boundary:administrative,11296
R7184998-boundary:administrative,13833
N297918705-shop:bakery,14481
N571433514-place:town,14612
N25960293-place:city,14048
N501540901-place:city,14587
R136687-boundary:administrative,12067
R12803764-boundary:administrative,13951
R1231107-boundary:postal_code,13116
R60759-boundary:administrative,"11450,11451,11452"
W192726135-amenity:fire_station,14300
W542029964-leisure:sports_centre,"14600,14601"
R3710302-boundary:administrative,"13685,13686"
N4107967280-place:town,"14841,14842"
R2989349-boundary:historic,"13596,13597,13598"
N501405252-place:village,14581
N192288043-place:city,14298
R537055-boundary:administrative,12876
W360885014-landuse:commercial,14539
R5326784-boundary:administrative,"13769,13770"
R8124756-highway:pedestrian,"14975,14935,14965"
R192756-boundary:administrative,"12318,12319,12320,12321"
R62564-boundary:administrative,"11682,11683,11684,11685,11686,11687,11688"
R288247-boundary:administrative,"12550,12551"
N245694497-place:city,14385
R311981-boundary:administrative,12642
R335433-boundary:administrative,12651
R52822-boundary:administrative,"11368,11366,11367,11369,11370,11371"
W498688157-tourism:museum,14580
R1656678-boundary:administrative,"13254,13255,13256"
N198511996-place:town,14308
R1309672-boundary:administrative,13147
R1126214-boundary:administrative,"13056,13057"
N240109189-place:city,"14358,14359"
W130408485-building:yes,14249
R192774-boundary:administrative,"12328,12329,12330"
R2784842-boundary:administrative,"13532,13533,13534,13535,13536,13537,13538"
R162112-boundary:administrative,"12140,12141,12142"
R2614802-boundary:administrative,13492
N245712627-place:city,"14392,14393"
R2779376-boundary:administrative,"13523,13524"
R287667-boundary:administrative,"12545,12546,12547,12548"
R76306-boundary:administrative,11908
R2410520-boundary:administrative,13475
R161816-boundary:administrative,12124
R2323309-boundary:administrative,"13460,13461"
R3486289-boundary:administrative,13655
R13048688-boundary:administrative,13955
W111356569-building:commercial,14232
N5305657051-place:hamlet,14860
R190922-boundary:administrative,14176
N2247730880-place:city,14774
N153843609-place:city,14276
R1683625-boundary:administrative,13272
R439840-boundary:administrative,"12804,12805"
R1428091-boundary:administrative,13192
R2202162-boundary:administrative,"13424,13425,13426,13427,13429,13430,13431,13432,13428"
N245711197-place:city,"14389,14390,14391"
R1216863-boundary:administrative,13110
N619091882-place:city,14621
R62577-boundary:administrative,"11689,11690,11691"
N235539324-place:town,14330
W43152749-highway:footway,"14173,14174"
R401643-boundary:administrative,12757
W1093685103-amenity:arts_centre,"14680,14681,14682,14683"
N565425441-place:village,14607
R181147-boundary:administrative,"12246,12247"
R1335179-boundary:administrative,13162
R195290-boundary:administrative,"12436,12437,12438"
R51529-boundary:administrative,11350
N313203266-amenity:theatre,14502
R1342105-boundary:administrative,13164
R253824-boundary:administrative,12507
R1852574-boundary:administrative,"13312,13313,13314,13315,13316,13317,13318,13320,13319"
R405292-boundary:administrative,"12765,12766,12767"
R2018151-boundary:administrative,"13379,13380,13381"
R183792-boundary:administrative,14172
R3720425-boundary:administrative,13711
R151164-boundary:statistical,12101
R118362-boundary:administrative,"12026,12027,12028"
R133501-boundary:statistical,12058
R2316593-boundary:administrative,"13449,13450"
R1124271-boundary:administrative,"13047,13048,13049,13050"
R165440-boundary:administrative,12162
R6080948-boundary:administrative,"13817,13818"
R405302-boundary:administrative,12768
R409209-boundary:administrative,12778
R444535-boundary:administrative,12820
R70193-boundary:administrative,"11893,11894"
N1398932052-natural:peak,14700
R5952247-boundary:administrative,13814
N89293667-place:city,14212
R161796-boundary:administrative,12123
R340797-boundary:administrative,12661
N31203257-place:city,"14132,14133"
R162115-boundary:administrative,12143
W180527847-building:government,14294
W26701158-highway:living_street,14057
R62693-boundary:administrative,"11777,11778,11779,11780,11781"
W823406229-highway:tertiary,14959
R62673-boundary:administrative,11765
R1112863-boundary:administrative,13029
R1180945-boundary:postal_code,13089
R253556-boundary:administrative,12505
R3705576-boundary:administrative,13681
R1662877-boundary:administrative,13258
R536807-boundary:administrative,"12871,12872,12873,12874,12875"
R1124262-boundary:administrative,"13033,13034,13035,13036"
R62751-boundary:administrative,"11806,11807,11808,11809,11810"
R1027771-boundary:administrative,12990
R3775035-boundary:administrative,13724
R3764541-boundary:administrative,13721
W672194345-office:government,14628
R1136079-boundary:postal_code,13072
R163307-boundary:administrative,"12154,12155,12153"
N4298140251-place:city,14844
